id,theme,theme_bucket,proverb_translit,literal_en,commentary
229,,,J?e pe rl wmkh-kotr ihd t,Pile cakes on cakes and eat f,Maj pVaatf ha 6iir lot I ‘ Mci\ Your bread depehdn on fkte and a snKdn- on ' your own exertioiK The point liea in the ouatoa d' oAvifig. a pipe to a Tutor.)'
230,,,"Sbyd didfair, ykishd pier; 14de thaXt",An ill-paid sereani and a badly led horse eat,It ia net an anoommon oastrmi in loa to keep a aerrant lor hia botrd only (roiyd without pay: pAaakd JlAafd maana a hokaa fad only on graaa.
231,,,"Sm irddd ilAocInd, oiar rw pdal pifid. daily.",By dijmug a weH daily I can drink water,by a penntleaa man who haa to apend all ha aatna: liTing hnni hand to moutk
232,,,Jta babd idfhi kath.,An old man angry plaoks at his own beard.,He b too feeble to hurt eny one but himeelf. Biting the noe« to epite the feoe.
233,,,Sab Id medyd tdkfh.,The evening is the mother of alL,The evening erowne the day.
234,,,Mdnlf Its Bkajvdn «e dhgdn iagdii.,"When God helps ail. anxiety is removed; So, my queen, meditate on the Blessed Oue.","Don't low heart. This saying is attributed to Kala and also to HarischaadrS, Ixtth well known Uindii heroes, who underwent great tioablw in this life."
235,,,"Sabn bilge, mb ae mUige, mbeehljeebdo, Bdnj","Meet all, and with 11, and love all. And ohtme in with all, X yeu would live",peacefully ) in your own village.
236,,,Sack bat ddhi lardl bod kai.,The truth is half a quarreL,The candid friend.
237,,,"Sadd Id nahid, jo haled ihdi. Mah. sweets.",Every day is not a holiday i i which to eat,The Id U the ohief MueelaSn festival.
238,,,"Sadd M faded, nrdod doeh / Worn, the peas.",Always breaking wind she lays the fault on,To doeeribe one who saaigaB frirolous ox ouses for foults whioh snlMbituaL
239,,,Samman / aiA ptU kar jdh lltndd kl joe: Jlte,Samman 1 let your love bo as a Hindu wife: With you in life and with you at death 1,By committing saM and burning at the hue band's pyre.
240,,,Sddp tukal gayd: — lakir pUd karo J track I,The snake has gone off: — now destroy his,Ton lete to beet the ihow.
241,,,"Sdrakg ne sSrakg gaho, sdnskg holo do; Jo sd",A pencook caught n snakes while clouds their thunder rolled; When the rucnrlt,"The psaooek is said to aoream and U.ii:. 'u:th joy at ths sound of thunder; ths eayiog eoutaios sUborats puna oaths wordsdrsNy wbiclji means a possoek. a aaaks, thunder, and ths peacooh's sm: it alas tosoao a aausical measure, a eloademl a"
242,,,CkmAf. E. Worn.,"With groat oogimw I took a husband, And than ho tnruod oat to be a Cham&r.",Aaasitoaro aooijlow oaeU: marry in haste and repeat at Irimira.
243,,,Sda H aab kl fa(heri. Worn. all.,The mother-in-law’s maid is the mistress of,• e. all the women in tha houaa are afraid of her.
244,,,"Sda, kothe par kd ghda. Worn. (roof.",A niotber-in-law is like the g(rass on the,A worthless thing.
245,,,Am imukgdf km$dr lojfidUmkgd t,. If It be a hundred what does he care 1 If it be a thousand what does he oare 1,BolareDM to blows with a sboa: the saying is plisd to one who ruos iucoiwiderstoly into debt; or to one who has already bean faeqoaotly diegimoad.
246,,,"Sdean med Atce etpir, Bhddoh med dl bar,","In August the jackal was born, and in Septeiuber he bom a flood and says never in iny life have I seen such a flood.",Said of one who niakee a great deal of what he liaa never eeeu before.
247,,,Se jdne tdn kd Ihdo 9,What does a banker know of the price of soapt,He daala in money only.
248,,,Send aisi Idbh de jdd gdddd de rat. Seed hi thd,Service yields profits as a sugar oane yields juice. A musician once d service and made tenfold profit by it,Li India sernoe in valued aoosedieg to the pkklng aUaebad le it
249,,,SIS kjfd jrifio pledge t,What detrimsnt will your dignity suffer 1,"Said to OM too indolent or haughty, to help hioiMlf: also to one who thinka much of himaoU or is above hia work."
250,,,Sharm oho duffiif d» peth mardak dttfpad. Fair?,Is shame s bitch that she should wnie to,Said by the liUrtCi towards a ahamelesa porcos.
251,,,Sir kd bdl ghar tl kheil hau,The hair of the head is one's own plantation.,It gfowa and ia pulled out at wUL
252,,,Sir kd paeUd ert ko dnd.,The sweat of the head reaches to the beds.,The Bwaat of too brow.
253,,,Sir tijie mM man hadiyoA meil. Meh.,Bowinge of the heed end evil in the heart.,Sold of 0 hypoorito.
254,,,Sir to Noiiffl fhird Kai t,Is not your he turned 1,Why do you taik nooeeuse.T
255,,,Soto to asM iai jmfdld Aai f,How shatl a ieper wake a sleeper I,Shall the bliud lead the Mind 1
256,,,"Tak Hlamdg Btmgdgaa hkdif;hako, phor rale","When a IkniyA’s wife takes to two-penny elovea: nay, will he he ruined or.not1",A Alt at tha pnfvarhfal oiggMdHnaaa of tho Bonyia.
257,,,Tdnl gfidt ki bdnl ykdi t,Which is in fault; the warp or the woof t,Both are: fsulta on both sides.
258,,,"Tell ke bail ko ghar k\ koe pahde, stall",The oilman's oz travels 50 miles in his own,Alhialon to his going round in a oirols while working at the mill.
259,,,"IVvf karat tara dpt, wurl Aomf mere dpt.","May thy deeds overtake thee, and mine met",Let us each reap the reward ol what we have done; emd m a ehrte to a pamon reCurning good for evil.
260,,,"Tin bulde terah d«, de ddl ned pdai.","Three were invited «ud thirteen have come, so water the porridgei",To make it enough to go round: alluaion to tho habit of many na'voe of taking their reUtirea and aarvanta to a faaat to which they thomsalvea only aro invitod.
261,,,Tun ht kka ffiM jotktt hhutline.,'' The weaver loses his way in the linseed field.,Through Lis ilnpidity: the stupidity of the weeving olsseee is s steading joke in India.
262,,,Tor ddl tdgd; td ids bbafoo bo eiM tdgd.,Break the marriage thread; what bUckguard have yon been talking with f,"Tiga ie the marriago Ibraad i nsad to a woman who goas wrong oooo aftor bar marriaga, aa the tOgO eanaot last long."
263,,,"Tori hoelo mdri bhar, paiod bkaHoodg: Apndro",Badiahee and weeds for vetehee nod their leavee for apinsch: He has beoome n gen tleman who wes but a dependeut,"Ten is tha pod of a kind olodMo velah:tko Indian vaddah io lookad an as of no val e,"
264,,,"Turn bhl kaJtoge ' kol miha jord kara,”",You also shall say who will marry mef,Said of one who is proud' of superior aoquire mente. Turn bhl kahoga mujhe charkhd U da 9 0.iu you ask any one to bay you a spin ning wheel
265,,,Tam M vfdlA. ham ne 6AtZis 64iIa khdlA.,"Tott made it fly away, I fried and ate it",Teeeh your graadmothfr to eiiok eggs.
266,,,Ulajh jdiyjd to tul(\fh hi rofiepd.,Wheu once entangled he will be disentangled.,"». €, when once entangled by asaniego he will be disentangled from hie wild ways: advice to tbe perente of a wayward eon, who ia towing too many wild oats: marrlege will sober him."
267,,,"Taft Ae vo/l Al imhntd kui,",A saint only knows a saint,Set a thief to oateb a lhie£
268,,,"FoA gnf m lAM, jo eMUtigdd khded.",This is no treacle for the ants to eat.,Touean'tinose npoo me.
269,,,Fob faaaul jaabiatl kaifju Ml Itii4d atobU I,Wat than avar a ndain without a aUlk t,IWa k aa man wilhottt a tbom.
270,,,"Ydr H ydrl ot kdm, yd ydr ke feloh te t","Is our concern with the affections, or with the actions of our friends I",The answer is obvious.
271,,,"Fdr ko kardd pydr, khaoam ko kardd bhatam,","I 11 caress my lover, bum my husband, and destroy my son 1",Said of a InuI woman.
272,,,"Teh tin idhft, aur pA pan Idrel.",This is the three and this the aoe and twelve.,The three is a unlnoky and tha aeaaad twelva a lucky throw at Aatpaf.
273,,,"TA voh faqlr nakld, jo hhdJtar dud dA.",This beggar will not bless you for your dole.,Sttid of an ungrateful person.
274,,,Zabar-daet eab kd jmdodl..,The strong man is eeetj body’s son-in-law.,R% hshsBte are obejed.
275,,,"ZkUat kepaijabhhtUed, Jab bdhar hepafde.","Shut your eyes, your nose and your mouthy and then oall on Ood. Your inner doors will open when your outer doors are shut.",Thie mying ia in eupport of the doctrine that oontemplation on atheteui leada to aalvatkm.
276,,,BaoOo ekeAr id etar lAet nakr id.,A honae ill n city and a field by a canal,are the bert of their kind).
277,,,GadhaA te hat eAale to bail kaun biede f oxen.,If donkeys could draw ploughs who would buy,Whieh are of a liigbar pil
278,,,Hdli kd pel euAdtf te noAtd bAartd. oriip cakes.,The ploughman’s stomach is not filled with,For.explaaatien Mt page 96 eoL 11.) ■
279,,,Batur hdlh dtamanveb hgo.,Strike your enemy with your clenched fiat.,If jou atrika at alt atrika hard.
280,,,Bhdlal hhdr Divdli gdte.,It is a noted bard that sings at the Divhli.,"For esplenetion eee page 43, eul. i."
281,,,"Bufbak dOitinal kd rakika bde, koii mM ehdur,","in his bam, and his house without food.",He oau’t learn to apend.
282,,,"Je hah at dhadhatd, ao dg mfi paretd.",Who makes a bonfire will fall into the fire.,Pliiying with edged tools.
283,,,Sinr ke mantrl kawa.‘-cAAof dahale hdf cfidm,The crow's advice to the jackal leave the bones and the skin and eat np the flesh.,"For explanation see paga SftO, ool i."
284,,,"Aj baeet'yd ular, kul baeervd dur. is far.","To-day’s home is near, to-morrow's hoiiiu",Tlii« world and the next.
285,,,"Amjhart Mi, larikd roiv dai ddi/","Only the mango blossouvs are falling, and",Crying for tho muon.
286,,,Annukh ghar men ndil bhatdr.,Iti a stranger's house the grandson is lord.,Be civil to a coon on bU own dung bill.
287,,,Bdola ki bydkl gdi tab meti U he dhAS.,When the fool's cow calves all the neigh bours run with thoir cans for the milk.,Said of an oppreaaed pepole.
288,,,"Oadhd ka khdil khet, na har-toke ke, norpar","If an ass eats up your field, it is nmther good for this world, nor the next.",Foreibiiat m see 89 eol. iL Gdg nadeebmekaetdj. A oow ie not ashamed of her call Odle hdih Oapdlak mdi.
289,,,Jure. idea eHjhe eiihnr.,Gi»iu to tho hllnlill place and thinking of,the planet) Veiiii.s.
290,,,Karain Kulla hharahi Lallil.,"Kallti dues the duud, mid lllfl pays for it.",The cai':i piiw.
291,,,"Xdni hard liArhd, kdn tloni hdchd.","A great iiatne, and both earn cut",A (itHiii on tliP f.iinily eHcutcheuii.
292,,,Xavkdr ko chdkat'f mitral ko usord /,A servant to a servant i.s a shed to a hut.,"The one it an nbaiinl an tbi: otherl Xau kddde aur doe negh Niue platters, and ton to receive them. Ftir explanation pae 172 col. i"
293,,,"Rdm na md/e, apai marai de ku’maiiehar","God did not kill him, but his own folly did.","His own wont •noniy. PottyA chAkar, ghaegA ghor i khde bahut thale t/tof. An ill-paid servant and a bedly fed horse eat much and work little."
294,,,TalvoA hi ti kthuA gd jib/t ki tl f,"Shall I judge according to the soles of my feet, or according to m\’ tongue I","For csplanation a«e page 231, col. i."
295,,,Bari bfird bhdg.,"Older the wife, greater the good fortune,","Forcxpl.-tnation are page 33, col. i."
296,,,"Bhtirmd hhdt, aahkd (hlyan.","Imagination is a devil, and fear a witoh.",Ttierefora be brave and aanaibte.
297,,,DiUl harem kahdr «e n\ehf..,To serve is worse than to be a scullion.,Senrioe is another name for slavery.
298,,,Mard ke chdr nikdJx durud haid.,It is lawful for a man to have four wives.,Hindu chaff of the Muhammadaua.
299,,,Ser men paneeri kd dftokd.,He Ml ulieat five pounds out of every pound.,A great rogue.
300,,,Terd hakd rake merd bik Joe.,"Letyours remain covered up, till mine be sold.",Applied to a aelfixli peraoii.
301,,,J'ef ter ke rove apni khove.,"Who weeps and cries aloud loses his credit.,",Keep your Umm to youraelf.
302,,,Jhathere thaPtere badldl /,One braxier exchanging with nttother I,"For explanation nee page 237, col. i."
303,,,Khdld kd dam aur kivdf kl jofi.,"Only an auut alive and a pair of door flaps,",gild to a boaster.
304,,,Nil! bathdd avmdk Idmn.,"The good M forgotten, and returned for it",Evil for good.
305,,,Owb keoie the veloeof owI%. Bat hov shell,the ovl kaois the Tslae of the phesniz f,"For explenetSoe aw 189, eoL L"
