id,theme,theme_bucket,proverb_translit,literal_en,commentary
468,Trades And Professions,trades_and_professions,Gavayatse pora radaJe tari suravanutsa radanara,"the mii4ma'g dild cry U wUi ay to a inne. 1827 fllflRTn laST IM'HH.NI -IdoT Gan9.r£t8& galS, nateanaratBa tmla A singer's voice, a dancet yeituret. 1828 Wt flITil 5ir •IflKI Gflva tagara phutaka Daii, A famous village and a broken 4mm! 1829 flnnW TOif fD% TT g Zatyavara basale mhanaje g3Qe sutsate Sitting at He grinding-stone hringt to mind a sot.",Women sing as they goDd.
469,Trades And Professions,trades_and_professions,B&tra thodi songe ph&ra,"Tke nigit it tkort, tie eharaetert are many.",Theatrical perfonnances are given at night.
470,Trades And Professions,trades_and_professions,Athara padme dala sadipadeiia stliala,Eighteen trillion troopt and no place can befimndfor tiem.,
471,Trades And Professions,trades_and_professions,Andhale nagara teaupata raza taka Sera bhaji taka,"Sera khaza A blind town, iti king fonr-fold bUndj where vegeUe are a rupee a teer, and tweetmeatt a rupee a teer.",Anarchy and confiision. Digitized ByGOOgle
472,Unclassified,unclassified,Agalavya nl boihbamarya,"An incendiajy who ahoutt ' Mre! Fire I ' 1842 WreTTcCt T TRBt AgastFali gava zaii A fiery-tempered vnman will bam tie village. 1843 ira flTT Tff W fTf Wrft Atha hata lakuda nau h£ta dhalapl IFood eight cubits Umg, a chip (front W) nine cubits long.",
473,Unclassified,unclassified,XJpata sula ghe khandyavara,"PkU up tie impaling-ttake, take it on yovr thouldert.",Some people bring about their own deBtructioD.
474,Unclassified,unclassified,Eka ek» bata nau uau hata,Every etory ofkiaig nine cubitg long.,
475,Unclassified,unclassified,Kakhenta dhakate maharavada odhi,"The child w on her hip and the learehe the Maidrtcddd /or it! 954, i?63",
476,Unclassified,unclassified,Khede ani vede,A hamlet and (in U) idiots.,
477,Unclassified,unclassified,Garibala nau mana carabi,A poor man has nine ttone of fat.,He calls himself poor but behaves rudely as though over-fed.
478,Unclassified,unclassified,Gava kail te rava na kan,"A milage (united) can do what the king cannot do. 1860 fqM tJ1'41 i4H mHI Gavakusu paduna katja lSvanara One vsho knock down the village-wall and plants a thorn-hedge (in it place) I 1861 art SfW »ftT rrflrt Gava gele nava rahile The village hat gone, itt name remains. 1862 fzVT 1(Qt ft?t itUi VCSJTdb l1% Tft Gbatika pam pite aoi ghad jala tole khate The ghatikd drinks Kater (hat pleasure), (he gong eatt knockt (it punished).","A ghatika was a bras vessel with a hole in' it which when placed on the water filled up and sank, so moasniing a"
479,Unclassified,unclassified,Taatepndhe paika saudyapudbe ljaka,"Wiik a man of had iahUt, money; mti a bate tnan, women. 1866 nmrvTv Tsalatya dhaiidjasa kho Intetferenee in a leork that it Iteing done.","He word kio is used in a game called kkokada, and means a check."
480,Unclassified,unclassified,TsaTadivara miirale mhane ghari saiigu naka,"Seaten in tie Sest-ioute and tayt, ' Po not tpeak it at iome.' What is known to all cannot be hashed ap.",
481,Unclassified,unclassified,Zuluma pana goda,Oppregsive hut sweet.,Being pressed to eat. From a story in which a woman who had been cant in the act of stealing was ponishad by baviug plantains thrown at her which she caught and ate.
482,Unclassified,unclassified,Duhkha vefiisa baiidhane,"To tie ong trouble to tie vUlage-gate, i, e. to nuike it public. 1883 5irTriT'n' Dumatra kana kau Tko accent and a ttroke make kau.",Used where two are malring HigiiB to each other about a third perHon.
483,Unclassified,unclassified,Dya bhara kara tarra,"Pertuade Aim and he will he full to the brim, i. e. with anger, desire, &c. 1885 v43H'3b' 'S'aaB DharmaSaletEe ukbala The mortar of the Rest-home.",Something need in common by all. Ofbea applied in a bad sense.
484,Unclassified,unclassified,Nalage nalage ani baletsa bilage,"' / don't Kant it, I don't want it ' — yet tries to obtain it.",
485,Unclassified,unclassified,Nave nave dole am nave nave tamafie,JVtfw eeg and nete amusements.,When old workers have left a work and new ones are employed they look at it in a new light and make many mistakes which amnse the onlookers.
486,Unclassified,unclassified,Padari padale va pavitra zhale,It came into our possession and became holy.,What an individnal owns is not free to be handled by all.
487,Unclassified,unclassified,Bara bandaratse pani pyala,He has dm/nk water from twelve harbours.,An experienced man.
488,Unclassified,unclassified,Loka sange bramhadnjana apana korada pana,Se tpeakt to othert the tupreme kaofoledge yet he himself it a dry ttone. 1899 Tf: itzTiftT »iT%?raTrr Yitetsa pbanta tina gavatsa helapata ff tie road branch of you go round by three viUaget.,When one ceases to be straightforward his conduct becomes intricate and involved.
489,Unclassified,unclassified,A neigibout't child iiina neighbour't houte.,"1902 '% Sif ffllT TITT Wra?iV ire Se to bbe hazara to bazara lakba to kakba Where there are a hundred there it fear, tehere a tkoiuaud there i» a bazaar, where a hundred thmtand there it duit in(dHng).",
490,Unclassified,unclassified,Sangaticja lobhe mele doghe,They were both ruined being fond of eack other's company. 1904 9 vmrnr nff irO 'n Sagale galabatanta ardhi supari mazhi In the whole boat half the betel-nut i» mine.,"It b said tbat a pasaeuger ouoa cut a betel-unt into two and threw one half into Qie hold of a boat which was loaded with betel'nut. At the end of the Toja he claimed half the boat-load, sajing, 'Half the betel-nut is Applied to any nnreasoniible claim."
491,Unclassified,unclassified,"IflJI 3»4, 3»9",WItfiT527. 1RWI476 mtra 550. io8,
492,Unclassified,unclassified,IWT 1377. 1378.,"■unft 740. 386. 'rt 1705. wrt 294, 542, 1 1 64, 1170, 1189, laoi, 1322, 1875.",
493,Unclassified,unclassified,"Tirm 516, 941,961, 1019,1444,",1601. irtt 1763,
494,Unclassified,unclassified,"WfTT 351, 735.","nsOT 338, 557-559, 670. 1 1 14.",
495,Unclassified,unclassified,"OTN 5,66, 56y.","gVT?: 1031, 1032. fiaoT 1279'",
496,Unclassified,unclassified,"Tjrrre 727j 728, 745. 1000. M35","WK 259, 1219, 1220.",
497,Unclassified,unclassified,"Wr I2, II18-II20, II33,","1 137, II48, 1 156.",
498,Unclassified,unclassified,"JTJIT: 983, 1311.","JPfra »i7, 373. '236.",
499,Unclassified,unclassified,"Vt9fT 313, 214, 217, 320-232,","227, 238, 282. rtfl I2I2. qhv 940, 1187. i\tkM\ 963, 964",
500,Unclassified,unclassified,NTSTS. 1097. 114.115. II'.,"1151, 1155, 1818.",
501,Unclassified,unclassified,IW 595. 1465,"inr 10, M. 5. 274 aiaBT 269. 490, 491. 498. 598, 800, 896, 899, 1248, 1473, 1827.",
502,Unclassified,unclassified,TW 443. 757. '321. 1460.,"wrji 937 ifiw 29, 85, 115, 197, 485, 601, 850. 954. 995. 1098. 03. 1218,1234,1332,1344,1351, 1415, 1420, 1436, 1459,1590, 1669, 1690, 1691, 1828, 1843, 1853,1859-1861, 1872, 1874, i860. fSrrmi 1 190. ftmi, 1562. jft?T 875, 1834. fm 1152 JWTT 1565 fim 401. 469. »685.",
503,Unclassified,unclassified,"WTT 1742-1744. 1762, 1763.","TTT 141, 256.",
504,Unclassified,unclassified,"IOI3, 1299, 1467.",WT 1492. 1494. 1499 %BT 538. 585.,
505,Unclassified,unclassified,"ART 645, io8(S.","1135303, 15 10.",
506,Unclassified,unclassified,"IpRf 171, 196, iioi.","fqaST 18, 22, 62. flarfi 635, 1029.",
507,Unclassified,unclassified,"Iffi3°3, 558. 832,","1484. 1888. qtq 142a. fqr 106, 177.",
508,Unclassified,unclassified,JtTW 158. 79. 'M. 830.,"ii 1298, 1588, 1667.",
509,Unclassified,unclassified,"Tras 330, 1877-1879.","wra 908, I320 ura 740. 772. 784-790, 793. 4ltcfet 1246. 804, 805, 1346, IJ74. was 733. 782, 809, 1005,",
510,Unclassified,unclassified,Jim 1 281.,gmzedbyGOOgle 25B INDEX OF IMPORTANT WORDS,
511,Unclassified,unclassified,"H 87s, 943, 991S, 998, 999,","1483,1496, 1647, 1760,1765. fqids) 1638-X640, 1644, 1645, 1647-1649.",
512,Unclassified,unclassified,WW 423. 1287.,"vi 224, 298, 873, 1428. qizQf 796, 1516, 1519.",
513,Unclassified,unclassified,"WW 67, 1315, 1325-1327,","1426, 1527, 1679, 1685, 1688, 1693, 1699, 1700.",
514,Unclassified,unclassified,Ht 1 193.,"TO 1093, 1094. ra 1247. «imi409 iirazT 885, 1678.",
515,Unclassified,unclassified,"W 724, 1078, 1088, 1090,","1096-1098,1103, 14110, 1587, 186 1, 1896.",
516,Unclassified,unclassified,Pljf T 490.,"fin 6, 1316, 1230, 1248.",
517,Unclassified,unclassified,"HT 258, 281.",39 gmzedbyGOOgle INDEX OF IMPORTANT WORDS,
518,Unclassified,unclassified,"Tiraw 244, 1751.","iiraw 1279, 1283, 1287, 1294 1296.",
519,Unclassified,unclassified,"IITZ 225, 292, 334, 425, 426,","436, 658, 693, 762, 1006, 1107, 1203, 1264, 1281,1323, 1626, 1709.",
520,Unclassified,unclassified,"V 957, 1004,","in 641, 770, 816, 837, 1227,",
521,Unclassified,unclassified,"Tirq 428, 8t3, 1309.",Tin: 328. mt 467 mrift 1601. qw 284. 385. mwT 795. 797.,
522,Unclassified,unclassified,"Pre 1 1 79, 1396.","ft 1222, 151O. firft 1025, 1724 f(S498. 17 fim i725.",
523,Unclassified,unclassified,"Ifeii 1 138, 1 142.","IttfT 803, 1030, 1055, 1319, 1533, 1568, 1657, I72I. ifte 16, 61, 276, 347, 396, 435, 426, 438, 436-443,491, 658,",
524,Unclassified,unclassified,IWTT 10. 653,"HWft 659, 1198.",
525,Unclassified,unclassified,"Tfir 167, 1330, 1336, 1339, 1350,","1254,1356-1358,1365,1375. iStT 21, 391, 1365. 730. gmzedbyGOOgle INDEX OF IMPORTANT WORDS",
526,Unclassified,unclassified,"WT 822, 1538.","wr 1234, 1260. irra 140, 196, 595 S87, 706, 849, 871, 1313, 1314, 1318, 1322, 1323, 1325, 1326, 1330, 1337-1340, 1346. 1440. 1467",
527,Unclassified,unclassified,"Wigs 480, 723, 1373","fM 1050, 1341, 134a. ftW 393. ftRRWI 739",
528,Unclassified,unclassified,"J677, 1705, 1898.","824, I5I8, 1564, 1578 1583, I59I, 1666, 1736,1780. jrfTi 682, 701, 1541. gmzedbyGOOgle",
529,Unclassified,unclassified,HTT 915. 1781,"»ITTT 46, 141, 143, 1067. anwT 865, T437.",
530,Unclassified,unclassified,"Wtf 1425, 1907.","•fraan 35, 31, 1552.",
531,Unclassified,unclassified,"S 356. 399, 1399","W 15, 907, 1533. 1858",
532,Unclassified,unclassified,"Hft 738, 808.",ir 1498 jrawT 1048. oqn 1116.,
533,Unclassified,unclassified,"Iran 406, 904.","WfT 1664. ifTT 1558, 1576. 1595-1598 itKfli«r 1855. 1873.",
534,Unclassified,unclassified,"Ht 96, 112, 120, 183-186,","984, 1 120.",
535,Unclassified,unclassified,"TPft 35. 80, 458, 475, 521, 980,","1174, 1186, 1294,1571. 1734",
536,Unclassified,unclassified,"JtXK II, 293, 389, 1327, 1331,","i3i, 1368, 1591, 1812. intift 1669.",
537,Unclassified,unclassified,Xjft '4. 233,TV 6. rua ■390. 1409,
538,Unclassified,unclassified,"Trar loi, 194. 455. 513. 74,","862. 874, 1200. 1270, 1592, 1649, 1840. tlW 581. '175. '°74 Kt« 482, 697. 741. 842, 1389, 1448.",Digitized ByGOOgle INDEX OF IMPORTANT WORDS
539,Unclassified,unclassified,"TJ 211, 1863.","TJM 308, 1665, 1682, 1870.",
540,Unclassified,unclassified,"IR 1464, 1684, 1688, 1692,","1698, 1706-1709, 1713.",
541,Unclassified,unclassified,"Wra 251, 376, 619, 1038, 1049,","1061, 1106, 1533, 1897, 190a.",
542,Unclassified,unclassified,"Wf 289, 391.","WM 127, 129, 166, 386, 540,",
543,Unclassified,unclassified,"WITT 723, 1847.",wit 97. 1435. '7,
544,Unclassified,unclassified,"Ij 718, 733.","iftr 328, 604. n7 1666. ti3f930' Ifan 861, 1355. flrn: uSi, 407.",
545,Unclassified,unclassified,"IpT 16, 46, 64, 67, 71, 73, 74. 85","141, 143, 595.",
546,Unclassified,unclassified,"Wft 484, 490. 498","rf 310, 316-319.",
547,Unclassified,unclassified,"Vmr 1720, 1726, 1738, 1787,","1798-1802, 1807. lift 470, 488, 500, 594, 1065 1069, 1145, 1652, 1803.",
548,Unclassified,unclassified,CT 1293. 1301,"fluiir 147, 1899.",
549,Unclassified,unclassified,"Xtz 1568, 1608, 1806.","fteS 1332. 1655 fT» 350. 371. 372. 864, II03,",
550,Unclassified,unclassified,TRANSLATED BY VARIOUS ORIENTAL SCHOLARS,AND EDITED BY THE RIGHT HON.,
