id,book_no,theme,theme_bucket,proverb_translit,literal_en,commentary
88,245,The brinjal out of season,nature_animals,Abatariya' bengend mok tol mok tol kare.,"The egg plant that is out of season, cries out pluck me, pluck me.",This saying is expressive of contempt towards men who are too pushing. 246. The bagari plum. Ulur lagat bagari paril. The wild plum is found in the ' ulu ' grass.
89,251,Ploughs,nature_animals,"Gadhuli hale shat shal bai, Pua hale e halo nai.","In the evening he has seven ploughs going, In the early morning he has not one.","The proverb illustrates the case of a man,who, although ignorant of agriculture altogether, pretends that he is doing a great deal of it. The Assamese never ploughs in the evening, at least not unless he can possibly help it. A ploughman's day is generally from dawn till about 11 or 12 o'clock. After that he lets his bullocks loose, and does no more that day."
90,253,Jack fruit,nature_animals,Dhan puriya kathal patar talate lukal.,"The biggest jack fruit of all, i.e., that one worth a purd of dhan,",lay hidden underneath the leaves. This proverb is applied to those who hide their light under a bushel. This proverb should more properly have come under Class I or Class II.
91,253,Seluk,nature_animals,Bure pati sheluk ne.,"Do you find a seluk each time you dive? The seluk is the edible root of ffoT (bhet), a kind of lotus, which grows in bils. The CTJ (bhet) is something similar to the singhara.",
92,259,The Bor tree,nature_animals,"Ear gach katile ghitingai karile, Chitiki parile etha. Lokak dekhuwai keterai matib,, Bhitari neriba beth,.","When the bor tree was cut down, it fell with a crash,","And its juice poured out like rain. Before people speak to him sharply, In private you should make much of him. The first part of the proverb is irrelevant to the second, which, as being a piece of advice to some one, should more properly have been detailed in Class II. TOPft? (ghitingai ) = an onomatopoeic word, signifying any sudden sound, as a clap of thunder — (Bronson). fofsfV (fH?nF) chitiki, literally, driving in like heavy rain through an open window. (Bar gach) =f the Indian fig (Ficus indica). These trees grow to an enormous size in Assam, notably the Feseng Bor gach near Difflu in Goldghat. _"
93,262,Paddy cultivation,nature_animals,"CFfatfa Ffal Cffr Garu ch£b& gadhuli rowa chd,bd puwd. Jakai baote chowali chdbd dekhi kene kuwa. Look for your bullocks in the evening,","look at your paddy-field in the morning. Have a peep at the girl who is fishing with the jakai, and see what she is like.","The Assamese lets his bullocks roam about after midday, when he has finished ploughing. In the evening he ties them up, so as to be ready to commence ploughing as soon as it is light. The second part of the proverb is irrelevant, although amusing."
94,263,On making seedling-beds,nature_animals,"fwfafo &\ Wfr i Shichatkoi cherd, dharar tan.","The plot that has been abandoned is harder to prepare than that which has been sprinkled (with water). The Assamese ryot always has a small plot of land near his house, where he makes his paddy nursery. The ground is first of all well ploughed, and then water is sprinkled all over the surface with a lahani (bamboo scoop) until the earth becomes liquid mud. Then the kathiya is sown. Naturally, a plot which has thus been prepared, is easier to work than the C5TI TCl (cherd dhard), the plot which has been allowed to lie fallow.",
95,273,The mosquito,nature_animals,Athu'wd talar mai moh&rileye mare.,The mosquito under the mosquito curtain is killed by being squeezed (this being the usual way of destroying this pest).,"The proverb applies to little people who are always subjecting the great to petty annoyances. 274 The mosquito. Shur ache hati nahay manuh garu khai, Bagh nahay, jito khai tate khai, Haralak ghate panir janmit."
96,275,The dove and the fish eagle,nature_animals,"Uri gal katiya kapo khedi nile shene, Eko kathi krere sht thait bhedile, lyo katha hoiche tene.","The little dove has flown away being chased by a hawk, He has pierced it (the latter) in seven places with one arrow only. This story also is like that.","The above is meant to illustrate the case of a person who tells a story, which primd facie appears to be false. The proverb should more properly have been classed under Class I."
97,282,The tiger,nature_animals,"Bhal khatilo baghak, Pahu mari ani dila agat.","I have laid a good bait for the tiger, By killing a deer and placing it in front of it.","Tigers will sometimes eat animals that they have not killed themselves, but this is not usual. f=Beng. i is the common word for a deer in Assamese, not an animal as in Bengali. 283. Madoi."
98,285,The dog,nature_animals,Khud maganiyar kukur shatru.,The dog is the enemy of the man who begs for scraps. is properly rice refuse.,
99,294,The game-cock,nature_animals,Kanar ktikura ranate mare. A game-cock dies in battle.,"The practice of cock-fighting prevails all over Assam amongst those who keep fowls. The tea-garden coolies are very fond of it, and often bring cocks with them from long distances for the purpose,",
100,295,Elephants and horses,nature_animals,"Rajak chiniba danat Hsctik chiniba anat, Ghorak chiniba kanat.","You will be able to recognise a king by his liberality, An elephant when it belongs to another, And a horse by its ears.",The second line means that a man does not know how to appre- ciate a good elephant until he has sold it to some one else. Good horses are supposed to keep their ears erect. There is a proverb also in Bengali about being able to recognise a good horse by its ears.
101,296,The house sparrow,nature_animals,"Raj hangshar gati dharote, Ghanchiri karo khoj paharile.","The house sparrow in trying to imitate the gait of the goose, Forgot its own. 297. The tadpole.",Ttfo fa ws ntffi Lalukaloi kitapat pani lagiche. Why does a tadpole require warm water! cf. — Christian's Bihar proverb: —
102,299,Tigers and snakes,nature_animals,"Shape khai baghe khai jadi mare jale, Jar ji haba lage nijar karjyar dale.","Whether a man was bitten by a snake or eaten by a tiger, or was drowned (it is the same thing). He has reaped the consequences of his action.",
103,301,Dogs,nature_animals,(. SftFT fV Kukure jane ki tarn tulsi.,"What does a dog know of the value of copper vessels or of the ei tulsi? When a Hindu worships his god, he dedicates to him leaves of tulsi in a copper vessel. The tulsi is the Ocymum sanc- tum or holy basil.","cf, — Bihar proverb:Can a monkey appreciate ginger? also Telegu proverb: What can a pig do with a rose bottle? The 14a March 1895."
