id,proverb_translit,literal_en,commentary,category,category_basis
220,"Rdjhdd, hahfd hddid, donohhardh.","For the king • second con, and for the goat","The priaeea flt for the duoaob sad the, BAJ 191",Nature & Animals,keyword rule: goat
221,Depend upon this motto: That' nine iu cash,are better than thirteen on credit,A bird in hand ia wor n two in tho buah.,Nature & Animals,keyword rule: bird
222,TuUi hired bdg ke elchat hi kumkidid.,Who rely on God can thrive on a mountain.,"I have seen) saith Tulsl Dis, that",Fortune & Fate,keyword rule: god
223,Bdr kd Oerd hai /,My hope is in God t,Said by thechildlew.,Fortune & Fate,keyword rule: god
224,"Rddid gayd oagad ho, dp ho Ido yd bhdt ho t",If a widower negociate a marriage will it be for himself or his brother 1,He will be sure to do it fpr hlmaeU. eo don't send him.,Society & Relationships,"keyword rule: brother, marriage"
225,"BdAd rove, kudri rooe, M Ugft aot khaaml","Widows weep, and virgins weep, and woman with seven husbands weep with them 1",The force of aympathy.,Society & Relationships,keyword rule: woman
226,Rdnl ko kauH hake dgd fkak f Worn.,Who will tell a qneen to eover her breuts t,Who oau oounsal a gresS msa 1,Uncategorised,keyword rule: 
227,"Sdt ged, bdt gal.",Tho night waa lost and ao was the object,The meaning k that tho night wua paaaad in iniidaaa eonaolt'an: anpliod to iU ■ueotai in any mnttar.,Uncategorised,keyword rule: 
228,"Rit na tatvddtd, merd Idld navddtd / Worn.","Nor seventh month rite nor feast, and yet he is her darling grandson 1","The tatvdhtd is a ceremony performed by women iu the seventh month sftcr the birth of a first-born son, Sspecially if long wished for.",Society & Relationships,"keyword rule: son, women"
229,J?e pe rl wmkh-kotr ihd t,Pile cakes on cakes and eat f,Maj pVaatf ha 6iir lot I ‘ Mci\ Your bread depehdn on fkte and a snKdn- on ' your own exertioiK The point liea in the ouatoa d' oAvifig. a pipe to a Tutor.)',Livelihood & Agriculture,keyword rule: bread
230,"Sbyd didfair, ykishd pier; 14de thaXt",An ill-paid sereani and a badly led horse eat,It ia net an anoommon oastrmi in loa to keep a aerrant lor hia botrd only (roiyd without pay: pAaakd JlAafd maana a hokaa fad only on graaa.,Nature & Animals,keyword rule: horse
231,"Sm irddd ilAocInd, oiar rw pdal pifid. daily.",By dijmug a weH daily I can drink water,by a penntleaa man who haa to apend all ha aatna: liTing hnni hand to moutk,Nature & Animals,keyword rule: water
232,Jta babd idfhi kath.,An old man angry plaoks at his own beard.,He b too feeble to hurt eny one but himeelf. Biting the noe« to epite the feoe.,Human Nature & Character,keyword rule: angry
233,Sab Id medyd tdkfh.,The evening is the mother of alL,The evening erowne the day.,Society & Relationships,keyword rule: mother
234,Mdnlf Its Bkajvdn «e dhgdn iagdii.,"When God helps ail. anxiety is removed; So, my queen, meditate on the Blessed Oue.","Don't low heart. This saying is attributed to Kala and also to HarischaadrS, Ixtth well known Uindii heroes, who underwent great tioablw in this life.",Fortune & Fate,"keyword rule: blessed, god"
235,"Sabn bilge, mb ae mUige, mbeehljeebdo, Bdnj","Meet all, and with 11, and love all. And ohtme in with all, X yeu would live",peacefully ) in your own village.,Society & Relationships,keyword rule: village
236,Sack bat ddhi lardl bod kai.,The truth is half a quarreL,The candid friend.,Society & Relationships,keyword rule: friend
237,"Sadd Id nahid, jo haled ihdi. Mah. sweets.",Every day is not a holiday i i which to eat,The Id U the ohief MueelaSn festival.,Uncategorised,keyword rule: 
238,"Sadd M faded, nrdod doeh / Worn, the peas.",Always breaking wind she lays the fault on,To doeeribe one who saaigaB frirolous ox ouses for foults whioh snlMbituaL,Nature & Animals,"keyword rule: ox, wind"
239,Samman / aiA ptU kar jdh lltndd kl joe: Jlte,Samman 1 let your love bo as a Hindu wife: With you in life and with you at death 1,By committing saM and burning at the hue band's pyre.,Fortune & Fate,keyword rule: death
240,Sddp tukal gayd: — lakir pUd karo J track I,The snake has gone off: — now destroy his,Ton lete to beet the ihow.,Nature & Animals,keyword rule: snake
241,"Sdrakg ne sSrakg gaho, sdnskg holo do; Jo sd",A pencook caught n snakes while clouds their thunder rolled; When the rucnrlt,"The psaooek is said to aoream and U.ii:. 'u:th joy at ths sound of thunder; ths eayiog eoutaios sUborats puna oaths wordsdrsNy wbiclji means a possoek. a aaaks, thunder, and ths peacooh's sm: it alas tosoao a aausical measure, a eloademl a",Wisdom & Advice,keyword rule: said to
242,CkmAf. E. Worn.,"With groat oogimw I took a husband, And than ho tnruod oat to be a Cham&r.",Aaasitoaro aooijlow oaeU: marry in haste and repeat at Irimira.,Society & Relationships,keyword rule: husband
243,Sda H aab kl fa(heri. Worn. all.,The mother-in-law’s maid is the mistress of,• e. all the women in tha houaa are afraid of her.,Society & Relationships,"keyword rule: mother, women"
244,"Sda, kothe par kd ghda. Worn. (roof.",A niotber-in-law is like the g(rass on the,A worthless thing.,Uncategorised,keyword rule: 
245,Am imukgdf km$dr lojfidUmkgd t,. If It be a hundred what does he care 1 If it be a thousand what does he oare 1,BolareDM to blows with a sboa: the saying is plisd to one who ruos iucoiwiderstoly into debt; or to one who has already bean faeqoaotly diegimoad.,Livelihood & Agriculture,keyword rule: debt
246,"Sdean med Atce etpir, Bhddoh med dl bar,","In August the jackal was born, and in Septeiuber he bom a flood and says never in iny life have I seen such a flood.",Said of one who niakee a great deal of what he liaa never eeeu before.,Wisdom & Advice,"keyword rule: never, said of"
247,Se jdne tdn kd Ihdo 9,What does a banker know of the price of soapt,He daala in money only.,Livelihood & Agriculture,keyword rule: money
248,Send aisi Idbh de jdd gdddd de rat. Seed hi thd,Service yields profits as a sugar oane yields juice. A musician once d service and made tenfold profit by it,Li India sernoe in valued aoosedieg to the pkklng aUaebad le it,Uncategorised,keyword rule: 
249,SIS kjfd jrifio pledge t,What detrimsnt will your dignity suffer 1,"Said to OM too indolent or haughty, to help hioiMlf: also to one who thinka much of himaoU or is above hia work.",Livelihood & Agriculture,keyword rule: work
250,Sharm oho duffiif d» peth mardak dttfpad. Fair?,Is shame s bitch that she should wnie to,Said by the liUrtCi towards a ahamelesa porcos.,Wisdom & Advice,keyword rule: should
251,Sir kd bdl ghar tl kheil hau,The hair of the head is one's own plantation.,It gfowa and ia pulled out at wUL,Uncategorised,keyword rule: 
252,Sir kd paeUd ert ko dnd.,The sweat of the head reaches to the beds.,The Bwaat of too brow.,Uncategorised,keyword rule: 
253,Sir tijie mM man hadiyoA meil. Meh.,Bowinge of the heed end evil in the heart.,Sold of 0 hypoorito.,Uncategorised,keyword rule: 
254,Sir to Noiiffl fhird Kai t,Is not your he turned 1,Why do you taik nooeeuse.T,Uncategorised,keyword rule: 
255,Soto to asM iai jmfdld Aai f,How shatl a ieper wake a sleeper I,Shall the bliud lead the Mind 1,Uncategorised,keyword rule: 
256,"Tak Hlamdg Btmgdgaa hkdif;hako, phor rale","When a IkniyA’s wife takes to two-penny elovea: nay, will he he ruined or.not1",A Alt at tha pnfvarhfal oiggMdHnaaa of tho Bonyia.,Society & Relationships,keyword rule: wife
257,Tdnl gfidt ki bdnl ykdi t,Which is in fault; the warp or the woof t,Both are: fsulta on both sides.,Uncategorised,keyword rule: 
258,"Tell ke bail ko ghar k\ koe pahde, stall",The oilman's oz travels 50 miles in his own,Alhialon to his going round in a oirols while working at the mill.,Uncategorised,keyword rule: 
259,"IVvf karat tara dpt, wurl Aomf mere dpt.","May thy deeds overtake thee, and mine met",Let us each reap the reward ol what we have done; emd m a ehrte to a pamon reCurning good for evil.,Uncategorised,keyword rule: 
260,"Tin bulde terah d«, de ddl ned pdai.","Three were invited «ud thirteen have come, so water the porridgei",To make it enough to go round: alluaion to tho habit of many na'voe of taking their reUtirea and aarvanta to a faaat to which they thomsalvea only aro invitod.,Nature & Animals,keyword rule: water
261,Tun ht kka ffiM jotktt hhutline.,'' The weaver loses his way in the linseed field.,Through Lis ilnpidity: the stupidity of the weeving olsseee is s steading joke in India.,Livelihood & Agriculture,"keyword rule: field, weaver"
262,Tor ddl tdgd; td ids bbafoo bo eiM tdgd.,Break the marriage thread; what bUckguard have yon been talking with f,"Tiga ie the marriago Ibraad i nsad to a woman who goas wrong oooo aftor bar marriaga, aa the tOgO eanaot last long.",Society & Relationships,"keyword rule: marriage, woman"
